name,code
亞泥,1102.TW
統一,1216.TW
聯華,1229.TW
東陽,1319.TW
台化,1326.TW
遠東新,1402.TW
年興,1451.TW
儒鴻,1476.TW
聚陽,1477.TW
士電,1503.TW
東元,1504.TW
中興電,1513.TW
華城,1519.TW
中砂,1560.TW
亞德客-KY,1590.TW
華新,1605.TW
中纖,1718.TW
台肥,1722.TW
美時,1795.TW
台玻,1802.TW
永豐餘,1907.TW
東和鋼鐵,2006.TW
大成鋼,2027.TW
上銀,2049.TW
川湖,2059.TW
正新,2105.TW
裕隆,2201.TW
三陽工業,2206.TW
和泰車,2207.TW
鴻華先進-創,2258.TW
金寶,2312.TW
華通,2313.TW
仁寶,2324.TW
華邦電,2344.TW
聯強,2347.TW
佳世達,2352.TW
宏碁,2353.TW
鴻準,2354.TW
英業達,2356.TW
所羅門,2359.TW
致茂,2360.TW
金像電,2368.TW
大同,2371.TW
技嘉,2376.TW
微星,2377.TW
群光,2385.TW
漢唐,2404.TW
南亞科,2408.TW
友達,2409.TW
京元電子,2449.TW
可成,2474.TW
大毅,2478.TW
愛山林,2540.TW
興富發,2542.TW
華航,2610.TW
長榮航,2618.TW
台灣高鐵,2633.TW
星宇航空,2646.TW
彰銀,2801.TW
京城銀,2809.TW
台中銀,2812.TW
臺企銀,2834.TW
遠東銀,2845.TW
新光金,2888.TW
統一超,2912.TW
潤泰全,2915.TW
神基,3005.TW
信邦,3023.TW
智原,3035.TW
文曄,3036.TW
健鼎,3044.TW
力特,3051.TW
玉晶光,3406.TW
創意,3443.TW
群創,3481.TW
嘉澤,3533.TW
健策,3653.TW
貿聯-KY,3665.TW
大聯大,3702.TW
神達,3706.TW
麗豐-KY,4137.TW
台灣精銳,4583.TW
材料-KY,4763.TW
臻鼎-KY,4958.TW
祥碩,5269.TW
遠雄,5522.TW
群益證,6005.TW
瑞儀,6176.TW
力成,6239.TW
啟碁,6285.TW
旭隼,6409.TW
矽力*-KY,6415.TW
保瑞,6472.TW
達發,6526.TW
愛普*,6531.TW
和潤企業,6592.TW
力積電,6770.TW
AES-KY,6781.TW
采鈺,6789.TW
來億-KY,6890.TW
康霈*,6919.TW
南電,8046.TW
富邦媒,8454.TW
億豐,8464.TW
寶成,9904.TW
豐泰,9910.TW
中保科,9917.TW
巨大,9921.TW
裕融,9941.TW
潤泰新,9945.TW
